business_name,business_type,address,city,date,download_date
"Zume, Inc.",Other manufacturing,151 Factory Stores Drive,Camarillo,1610496000000,2021-02-11
"Channel Islands Aviation, Inc.",Other (specify),305 Durley Avenue,Camarillo,1610409600000,2021-02-11
"Hi-Temp Insulation, Inc - Building 1 & 2",Other manufacturing,4700 Calle Alto,Camarillo,1610582400000,2021-02-11
New Balance Athletics - Camarillo,Retail space (including grocery stores),"500 Ventura Boulevard, Suite 1500,",Camarillo,1610409600000,2021-02-11
"Crocs Retail, LLC",Retail space (including grocery stores),"620 Ventura Boulevard, #1302",Camarillo,1610496000000,2021-02-11
"Columbia Brands USA, LLC  Cam.",Retail space (including grocery stores),630 East Ventura Blvd,Camarillo,1610064000000,2021-02-11
Polo Ralph Lauren Factory Store at Camarillo Premium Outlets,Retail space (including grocery stores),740 Ventura Boulevard STE 908,Camarillo,1609977600000,2021-02-11
"Gared Graphics, Inc.",Other manufacturing,980 Avenida Acaso,Camarillo,1610064000000,2021-02-11
"El Pescador #12, Inc.",Food service/restaurant,1305 W Ventura St,Fillmore,1610323200000,2021-02-11
Devil Mountain Wholesale Nursery,Other (specify),3200 West Telegraph Road,Fillmore,1610582400000,2021-02-11
Benchmark Electronics,Other manufacturing,200 Science Drive,Moorpark,1610496000000,2021-02-11
"Picnic Time, Inc.",Distribution warehouse,5131 Maureen Lane,Moorpark,1610323200000,2021-02-11
Wells Fargo Moorpark,Bank/financial services,515 West Los Angeles Avenue,Moorpark,1610064000000,2021-02-11
"Skyworks Solutions, Inc.",Other manufacturing,2421 / 2427 West Hillcrest Drive,Newbury Park,1610582400000,2021-02-11
Panda Express  N.P.,Food service/restaurant,2690 Teller,Newbury Park,1610064000000,2021-02-11
Taco Bell - Newbury Park,Food service/restaurant,791 Wendy Drive,Newbury Park,1610496000000,2021-02-11
Ojai Valley Inn and Spa,"Accommodations (e.g. hotel, hostel, motel)",905 Country Club Road,Ojai,1609891200000,2021-02-11
Fidelity National Title Company,Bank/financial services,1000 Town Center Drive STE 260,Oxnard,1609977600000,2021-02-11
Commercial Cooler Western Precooling,Other (specify),1001 Commercial Avenue,Oxnard,1609977600000,2021-02-11
Seed Beauty #3,Factory/manufacturing plant,1201 Vanguard Drive (Section B),Oxnard,1610409600000,2021-02-11
Goodwill Industries of Ventura and Santa Barbara Counties,Office space/workspace,130 Lombard Street,Oxnard,1609891200000,2021-02-11
Seed Beauty #1,Factory/manufacturing plant,1400 Stellar Drive,Oxnard,1610409600000,2021-02-11
"Plascene, Inc.",Other manufacturing,1600 Pacific Avenue,Oxnard,1610323200000,2021-02-11
Seed Beauty #2,Factory/manufacturing plant,1600 Westar Drive (section B),Oxnard,1610409600000,2021-02-11
Panda Express - South Oxnard,Food service/restaurant,1671 East Channel Islands Boulevard,Oxnard,1610323200000,2021-02-11
Urbane Cafe - Oxnard,Food service/restaurant,1750 East Gonzales Road,Oxnard,1610409600000,2021-02-11
Team Nissan of Oxnard,Other (specify),1801 Auto Center Drive,Oxnard,1610582400000,2021-02-11
Costco Wholesale - Oxnard,Retail space (including grocery stores),2001 East Ventura Boulevard,Oxnard,1610496000000,2021-02-11
Limoneira,Agricultural operations,2001 Sunkist Circle,Oxnard,1610064000000,2021-02-11
Mercy Crusade Inc. Spay Neuter & Wellness Clinic,"Animal services (e.g., animal shelter/control, veterinary clinic)",2225 Craig Drive,Oxnard,1610064000000,2021-02-11
